team,season,sos_sp,n_rated_opponents
Air Force,2000,-3.67,10
Akron,2000,-8.5364,11
Alabama,2000,8.4818,11
App State,2000,-18.8,1
Arizona,2000,9.7636,11
Arizona State,2000,6.4909,11
Arkansas,2000,6.9,10
Arkansas State,2000,-1.01,10
Army,2000,-2.3091,11
Auburn,2000,4.4727,11
Austin Peay,2000,-35.3,1
BYU,2000,2.675,12
Ball State,2000,-1.99,10
Baylor,2000,3.7,11
Boise State,2000,-8.6222,9
Boston College,2000,3.6455,11
Bowling Green,2000,-4.1091,11
Buffalo,2000,-7.5727,11
Cal State Northridge,2000,1.8,1
California,2000,9.3545,11
Central Michigan,2000,-1.8727,11
Chattanooga,2000,1.4,1
Cincinnati,2000,-1.1727,11
Clemson,2000,2.7,10
Colgate,2000,-29.4,1
Colorado,2000,10.5182,11
Colorado State,2000,-3.03,10
Duke,2000,5.9727,11
East Carolina,2000,1.0091,11
East Tennessee State,2000,7.5,1
Eastern Illinois,2000,17.0,1
Eastern Kentucky,2000,-0.4,1
Eastern Michigan,2000,-2.9,11
Eastern Washington,2000,16.0,2
Florida,2000,7.5364,11
Florida State,2000,6.3083,12
Fresno State,2000,-1.8182,11
Georgia,2000,6.73,10
Georgia Southern,2000,16.0,1
Georgia Tech,2000,1.4545,11
Grambling,2000,10.8,1
Hawai'i,2000,-3.2182,11
Houston,2000,-0.0182,11
Idaho,2000,0.1889,9
Idaho State,2000,-14.6,1
Illinois,2000,4.0091,11
Illinois State,2000,5.6,1
Indiana,2000,5.9727,11
Indiana State,2000,13.4,1
Iowa,2000,10.3917,12
Iowa State,2000,4.7909,11
Jacksonville State,2000,-32.2,2
James Madison,2000,-35.3,1
Kansas,2000,9.72,10
Kansas State,2000,4.4833,12
Kent State,2000,-4.36,10
Kentucky,2000,6.3182,11
LSU,2000,6.87,10
Liberty,2000,-35.3,1
Louisiana,2000,-8.9875,8
Louisiana Tech,2000,-3.25,10
Louisville,2000,-1.64,10
Marshall,2000,-5.32,10
Maryland,2000,2.4818,11
McNeese,2000,35.9,1
Memphis,2000,-3.1636,11
Miami,2000,10.15,10
Miami (OH),2000,-7.8727,11
Michigan,2000,5.1727,11
Michigan State,2000,9.0818,11
Middle Tennessee,2000,-9.69,10
Minnesota,2000,0.9455,11
Mississippi State,2000,5.3182,11
Mississippi Valley State,2000,-14.6,1
Missouri,2000,8.4,10
Missouri State,2000,5.1,1
Montana,2000,-10.8,1
Montana State,2000,-10.8,1
Murray State,2000,-14.5,1
NC State,2000,-0.4,11
Navy,2000,1.3182,11
Nebraska,2000,6.8,11
Nevada,2000,-2.075,12
New Mexico,2000,0.9182,11
New Mexico State,2000,-3.6909,11
Nicholls,2000,-35.7,1
North Carolina,2000,2.7091,11
North Texas,2000,-5.69,10
Northeastern,2000,-29.4,1
Northern Arizona,2000,2.1,1
Northern Illinois,2000,-2.2,10
Northern Iowa,2000,7.9,1
Northwestern,2000,5.4455,11
Northwestern State,2000,-14.75,2
Notre Dame,2000,6.6545,11
Ohio,2000,-8.15,10
Ohio State,2000,5.8727,11
Oklahoma,2000,5.2182,11
Oklahoma State,2000,6.77,10
Ole Miss,2000,2.9273,11
Oregon,2000,6.4545,11
Oregon State,2000,8.06,10
Penn State,2000,6.325,12
Pittsburgh,2000,4.7273,11
Portland State,2000,-13.3,1
Purdue,2000,4.2,11
Rhode Island,2000,-29.4,1
Rice,2000,-0.5545,11
Richmond,2000,-5.4,2
Rutgers,2000,7.53,10
SMU,2000,-4.35,12
Sam Houston,2000,-29.1,1
Samford,2000,-22.0,1
San Diego State,2000,3.0364,11
San José State,2000,-0.8273,11
South Carolina,2000,5.4727,11
South Florida,2000,-10.8,5
Southeast Missouri State,2000,4.0,1
Southern Illinois,2000,0.7,1
Southern Miss,2000,-2.4273,11
Southern Utah,2000,-8.0,2
Stanford,2000,10.9455,11
Stephen F. Austin,2000,-14.6,1
Syracuse,2000,6.2636,11
TCU,2000,-7.3636,11
Temple,2000,4.5818,11
Tennessee,2000,3.4727,11
Tennessee Tech,2000,-0.7,1
Texas,2000,0.7364,11
Texas A&M,2000,6.9909,11
Texas State,2000,-19.7,2
Texas Tech,2000,2.3917,12
The Citadel,2000,15.7,1
Toledo,2000,-5.3111,9
Troy,2000,-35.3,1
Tulane,2000,-5.9636,11
Tulsa,2000,-5.3083,12
UAB,2000,-2.23,10
UCF,2000,-2.35,8
UCLA,2000,11.8364,11
UConn,2000,-11.2875,8
UL Monroe,2000,-6.1625,8
UNLV,2000,-5.1917,12
USC,2000,9.6667,12
UTEP,2000,-1.8273,11
Utah,2000,-0.6636,11
Utah State,2000,-3.9222,9
Vanderbilt,2000,3.9455,11
Villanova,2000,-9.5,1
Virginia,2000,5.94,10
Virginia Tech,2000,6.8909,11
Wake Forest,2000,2.45,10
Washington,2000,11.2545,11
Washington State,2000,8.4818,11
Weber State,2000,17.0,1
West Virginia,2000,9.2818,11
Western Carolina,2000,11.0,1
Western Illinois,2000,-5.95,2
Western Kentucky,2000,-35.3,1
Western Michigan,2000,-2.32,10
William & Mary,2000,-0.4,1
Wisconsin,2000,7.4,12
Wofford,2000,-35.7,1
Wyoming,2000,-0.3091,11
Youngstown State,2000,-25.0,1
Air Force,2001,-3.2182,11
Akron,2001,-1.5364,11
Alabama,2001,7.2727,11
App State,2001,1.5,1
Arizona,2001,3.1545,11
Arizona State,2001,3.8545,11
Arkansas,2001,10.99,10
Arkansas State,2001,-12.2222,9
Army,2001,-6.2909,11
Auburn,2001,8.9727,11
BYU,2001,-4.6615,13
