season,player,school,position,conference,avg_ppa_all,avg_ppa_pass,avg_ppa_rush,avg_ppa_first_down,avg_ppa_second_down,avg_ppa_third_down,avg_ppa_standard_downs,avg_ppa_passing_downs,total_ppa_all
2015,Jamaal Jackson,Delaware State,RB,MEAC,-0.426,-0.422,-0.426,-0.729,-0.124,-0.575,-0.741,0.047,-6.393
2015,Johnny Jackson,Arizona,WR,PAC,0.674,0.674,,0.415,0.839,1.314,0.413,0.953,41.813
2015,Jamar Brown,Indiana State,WR,MVFC,1.405,1.405,,1.405,,,1.405,,1.405
2015,Cody Clay,West Virginia,TE,B12,2.06,2.06,,2.052,2.068,,2.06,,4.12
2015,Taysom Hill,BYU,QB,Ind,0.381,0.223,1.331,0.349,0.295,1.153,0.29,0.53,16.017
2015,Naia Ursua,Southern Utah,WR,BSKY,-0.178,-0.317,0.101,-0.178,,,-0.178,,-0.533
2015,Ammon Olsen,Southern Utah,QB,BSKY,-0.169,-0.206,0.547,-0.141,-0.118,-0.253,-0.193,-0.148,-6.925
2015,Mitch Mathews,BYU,WR,Ind,0.485,0.485,,0.366,0.456,0.705,0.492,0.469,43.173
2015,Nathan Perera,Charleston Southern,WR,BSOUTH,-0.168,-0.168,,-0.168,,,-0.168,,-0.335
2015,Ridgeway Frank,Sam Houston,RB,SLC,2.548,,2.548,2.548,,,2.548,,2.548
2015,Soma Vainuku,USC,FB,PAC,1.301,,1.301,-0.184,,,1.301,,2.602
2015,Corvin Lamb,Louisville,RB,ACC,-0.221,-1.13,-0.091,-0.103,-0.338,,-0.024,-1.596,-1.766
2015,Braxton Deaver,Duke,TE,ACC,0.215,0.215,,-0.048,0.643,0.735,-0.035,0.713,7.727
2015,Jake McGee,Florida,TE,SEC,0.603,0.603,,0.813,0.199,0.441,0.888,0.327,34.354
2015,Justin Brown,Southern Utah,WR,BSKY,-0.085,-0.085,,0.152,-0.434,-0.312,-0.029,-0.182,-0.933
2015,Bobby Swigert,Boston College,WR,ACC,0.587,0.54,0.967,0.088,1.748,-0.154,0.088,0.987,5.286
2015,Algernon Brown,BYU,RB,Ind,0.225,0.204,0.228,0.078,0.451,0.195,0.183,0.374,31.508
2015,Kivon Cartwright,Colorado State,TE,MWC,0.856,0.856,,0.852,0.389,1.264,0.723,1.079,20.552
