season,player,school,position,conference,usage_all,usage_pass,usage_rush,usage_first_down,usage_second_down,usage_third_down,usage_standard_downs,usage_passing_downs
2015,Jamaal Jackson,Delaware State,RB,MEAC,,0.067,0.609,0.429,0.538,0.2,0.474,0.316
2015,Johnny Jackson,Arizona,WR,PAC,,0.133,0.0,0.055,0.065,0.094,0.049,0.104
2015,Jamar Brown,Indiana State,WR,MVFC,,0.024,0.0,0.031,0.0,0.0,0.019,0.0
2015,Cody Clay,West Virginia,TE,B12,,0.028,0.0,0.013,0.017,0.0,0.018,0.0
2015,Taysom Hill,BYU,QB,Ind,,0.766,0.261,0.563,0.619,0.643,0.553,0.64
2015,Naia Ursua,Southern Utah,WR,BSKY,,0.051,0.04,0.125,0.0,0.0,0.097,0.0
2015,Ammon Olsen,Southern Utah,QB,BSKY,,1.0,0.08,0.625,0.619,0.667,0.613,0.647
2015,Mitch Mathews,BYU,WR,Ind,,0.167,0.0,0.106,0.066,0.142,0.103,0.082
2015,Nathan Perera,Charleston Southern,WR,BSOUTH,,0.065,0.0,0.056,0.0,0.0,0.036,0.0
2015,Ridgeway Frank,Sam Houston,RB,SLC,,0.0,0.022,0.02,0.0,0.0,0.014,0.0
2015,Soma Vainuku,USC,FB,PAC,,0.0,0.029,0.016,0.0,0.0,0.019,0.0
2015,Corvin Lamb,Louisville,RB,ACC,,0.015,0.093,0.058,0.089,0.0,0.069,0.024
2015,Braxton Deaver,Duke,TE,ACC,,0.093,0.0,0.044,0.037,0.074,0.046,0.054
2015,Jake McGee,Florida,TE,SEC,,0.158,0.0,0.061,0.099,0.072,0.057,0.116
2015,Justin Brown,Southern Utah,WR,BSKY,,0.282,0.0,0.25,0.143,0.056,0.226,0.118
2015,Bobby Swigert,Boston College,WR,ACC,,0.073,0.005,0.032,0.027,0.025,0.021,0.036
2015,Algernon Brown,BYU,RB,Ind,,0.036,0.382,0.205,0.156,0.161,0.208,0.118
2015,Kivon Cartwright,Colorado State,TE,MWC,,0.086,0.0,0.037,0.028,0.055,0.032,0.047
2015,Kenneth Scott,Utah,WR,PAC,,0.161,0.0,0.061,0.053,0.095,0.052,0.091
2015,Sam Bergen,Rutgers,FB,B1G,,0.048,0.004,0.028,0.0,0.016,0.025,0.01
2015,Brandon Doughty,Western Kentucky,QB,CUSA,,0.972,0.043,0.503,0.565,0.732,0.496,0.711
2015,Holden Huff,Boise State,TE,MWC,,0.066,0.0,0.022,0.048,0.032,0.028,0.044
2015,Landry Klann,Nicholls,QB,SLC,,0.089,0.027,0.0,0.051,0.129,0.027,0.091
2015,Alex Cannon,UC Davis,WR,BSKY,,0.081,0.0,0.033,0.02,0.088,0.028,0.068
2015,Anthony Jordan,Bethune-Cookman,RB,MEAC,,0.063,0.207,0.059,0.267,0.167,0.05,0.24
2015,Terry Lucas,Nicholls,WR,SLC,,0.222,0.0,0.042,0.077,0.161,0.053,0.136
2015,Darryl Watson,Nicholls,WR,SLC,,0.048,0.0,0.038,0.0,0.0,0.026,0.0
2015,Charone Peake,Clemson,WR,ACC,,0.144,0.002,0.053,0.08,0.075,0.06,0.075
2015,Stanton Seckinger,Clemson,TE,ACC,,0.032,0.0,0.018,0.012,0.0,0.016,0.0
2015,David Glidden,Oklahoma State,WR,B12,,0.154,0.0,0.056,0.092,0.134,0.062,0.128
2015,Jeremy Seaton,Oklahoma State,FB,B12,,0.05,0.0,0.017,0.032,0.026,0.024,0.029
2015,Herschel Sims,Abilene Christian,RB,SLC,,0.02,0.167,0.103,0.083,0.0,0.089,0.034
2015,J.W. Walsh,Oklahoma State,QB,B12,,0.156,0.179,0.125,0.153,0.253,0.181,0.128
2015,Benson Browne,NC State,TE,ACC,,0.041,0.0,0.009,0.012,0.043,0.022,0.0
2015,Maurice Morgan,NC State,WR,ACC,,0.036,0.0,0.0,0.0,0.087,0.009,0.029
2015,Josh Grady,Florida,WR,SEC,,0.062,0.045,0.034,0.049,0.071,0.064,0.026
2015,Kris Kentera,Vanderbilt,WR,SEC,,0.057,0.0,0.008,0.02,0.071,0.018,0.052
2015,Steven Scheu,Vanderbilt,TE,SEC,,0.144,0.0,0.054,0.05,0.119,0.055,0.091
2015,Jerron Seymour,Eastern Illinois,RB,OVC,,0.0,0.154,0.158,0.067,0.0,0.097,0.056
2015,Vincent Croce,Virginia,FB,ACC,,0.029,0.014,0.049,0.0,0.0,0.029,0.0
2015,Dylan Curry,Ball State,TE,MAC,,0.063,0.005,0.032,0.034,0.038,0.029,0.045
2015,Chris Shillings,Ball State,WR,MAC,,0.108,0.0,0.048,0.052,0.073,0.044,0.079
2015,Kevin Asante,Virginia Tech,WR,ACC,,0.097,0.0,0.028,0.045,0.083,0.018,0.125
2015,Nelson Spruce,Colorado,WR,PAC,,0.247,0.0,0.119,0.145,0.101,0.109,0.146
2015,Devon Blackmon,BYU,WR,Ind,,0.13,0.0,0.071,0.05,0.131,0.069,0.085
2015,Kellen Clute,Oregon State,TE,PAC,,0.043,0.0,0.0,0.037,0.0,0.017,0.0
2015,Dylan Ledet,Nicholls,RB,SLC,,0.0,0.027,0.0,0.051,0.0,0.0,0.045
2015,Kawmae Sawyer,Ohio,WR,MAC,,0.051,0.0,0.023,0.0,0.045,0.02,0.029
2015,Derrius Vick,Ohio,QB,MAC,,0.756,0.19,0.394,0.474,0.596,0.408,0.56
2015,LaQuintus Dowell,UTEP,RB,CUSA,,0.0,0.279,0.13,0.179,0.1,0.16,0.094
2015,Juwan Brescacin,Northern Illinois,WR,MAC,,0.119,0.0,0.031,0.063,0.072,0.035,0.084
2015,Tommylee Lewis,Northern Illinois,WR,MAC,,0.192,0.02,0.088,0.095,0.082,0.086,0.093
2015,Matt McIntosh,Southern Illinois,QB,MVFC,,0.0,0.111,0.061,0.071,0.059,0.078,0.0
2015,Russell Bellomy,UTSA,QB,CUSA,,0.092,0.05,0.059,0.062,0.12,0.05,0.111
2015,Justice Hayes,Southern Miss,RB,CUSA,,0.018,0.193,0.119,0.102,0.057,0.11,0.065
2015,Joe Kerridge,Michigan,FB,B1G,,0.025,0.054,0.049,0.025,0.053,0.053,0.008
2015,Vernon Adams Jr.,Oregon,QB,PAC,,0.859,0.137,0.378,0.496,0.56,0.378,0.599
2015,Nelson Fishback,Western Kentucky,QB,CUSA,,0.051,0.0,0.014,0.011,0.083,0.014,0.06
2015,Shaq Hill,Eastern Washington,WR,BSKY,,0.071,0.0,0.049,0.037,0.0,0.047,0.045
2015,Sean Goldrich,New Hampshire,QB,CAA,,0.885,0.2,0.524,0.412,0.769,0.444,0.8
2015,Jared Allison,New Hampshire,WR,CAA,,0.115,0.0,0.095,0.0,0.077,0.056,0.067
2015,Hakeem Valles,Monmouth,WR,BSOUTH,,0.143,0.0,0.038,0.053,0.133,0.025,0.16
2015,Jeff Driskel,Louisiana Tech,QB,CUSA,,0.942,0.186,0.57,0.53,0.758,0.527,0.704
2015,Remound Wright,Stanford,RB,PAC,,0.027,0.138,0.057,0.078,0.203,0.109,0.059
2015,Kelsey Young,Boise State,RB,MWC,,0.018,0.191,0.126,0.095,0.076,0.125,0.047
2015,Ben Boesen,Iowa State,TE,B12,,0.052,0.0,0.0,0.065,0.043,0.012,0.065
2015,Quenton Bundrage,Iowa State,WR,B12,,0.15,0.004,0.061,0.086,0.082,0.056,0.12
2015,Sam B. Richardson,Iowa State,QB,B12,,0.711,0.106,0.29,0.431,0.591,0.301,0.626
2015,Devin Lucien,Arizona State,WR,PAC,,0.181,0.002,0.068,0.11,0.133,0.078,0.125
2015,Jerry Neuheisel,UCLA,QB,PAC,,0.136,0.0,0.051,0.088,0.082,0.047,0.115
2015,Collins Moore,Ole Miss,WR,SEC,,0.032,0.0,0.0,0.0,0.118,0.0,0.071
2015,Dak Prescott,Mississippi State,QB,SEC,,0.956,0.327,0.642,0.654,0.831,0.643,0.751
2015,Taylor Higgason,UT Martin,WR,OVC,,0.033,0.026,0.036,0.045,0.0,0.023,0.04
2015,Ralph David Abernathy IV,Tennessee,RB,SEC,,0.12,0.0,0.026,0.08,0.0,0.036,0.042
2015,Alex Chisum,Cincinnati,WR,AAC,,0.108,0.0,0.055,0.064,0.061,0.051,0.073
2015,Chris Moore,Cincinnati,WR,AAC,,0.13,0.007,0.077,0.058,0.088,0.073,0.07
2015,Max Morrison,Cincinnati,WR,AAC,,0.125,0.0,0.069,0.058,0.077,0.064,0.069
2015,Shaq Washington,Cincinnati,WR,AAC,,0.22,0.0,0.095,0.099,0.214,0.099,0.153
2015,Kamal Abrams,Delaware State,WR,MEAC,,0.133,0.0,0.071,0.0,0.1,0.053,0.053
2015,Max DeLorenzo,UConn,RB,AAC,,0.027,0.051,0.043,0.041,0.04,0.044,0.033
2015,Jay Rome,Georgia,TE,SEC,,0.064,0.0,0.029,0.033,0.015,0.026,0.029
2015,Sanford Seay,Louisiana Tech,WR,CUSA,,0.129,0.0,0.082,0.024,0.115,0.057,0.107
2015,Jacoby Brissett,NC State,QB,ACC,,0.955,0.217,0.48,0.528,0.777,0.481,0.719
2015,Zach Adler,North Dakota,WR,BSKY,,0.083,0.0,0.0,0.08,0.0,0.023,0.029
2015,Nathan Sassaman,South Alabama,WR,SBC,,0.027,0.0,0.0,0.0,0.067,0.0,0.036
2015,Effrem Reed,Louisiana,RB,SBC,,0.028,0.033,0.04,0.0,0.059,0.027,0.034
2015,Jamal Robinson,Louisiana,WR,SBC,,0.212,0.003,0.081,0.124,0.115,0.07,0.167
2015,Brayle Brown,UL Monroe,QB,SBC,,0.076,0.092,0.056,0.071,0.119,0.068,0.108
2015,Earnest Carrington,UL Monroe,QB,SBC,,0.399,0.098,0.243,0.211,0.366,0.244,0.288
2015,Rashon Ceaser,UL Monroe,WR,SBC,,0.227,0.013,0.109,0.174,0.133,0.129,0.135
2015,DeVontae McNeal,UL Monroe,RB,SBC,,0.024,0.145,0.103,0.076,0.038,0.096,0.039
2015,Harley Scioneaux,UL Monroe,TE,SBC,,0.051,0.0,0.025,0.032,0.019,0.032,0.024
2015,Tim Byerly,Georgia Tech,QB,ACC,,0.167,0.137,0.065,0.211,0.333,0.154,0.0
2015,Christian Collis,Middle Tennessee,WR,CUSA,,0.082,0.005,0.053,0.026,0.054,0.041,0.053
2015,DeAnthony Arnett,Michigan State,WR,B1G,,0.043,0.008,0.0,0.035,0.048,0.006,0.059
2015,Alex Ellis,Tennessee,TE,SEC,,0.075,0.0,0.012,0.038,0.061,0.02,0.055
2015,Bram Kohlhausen,TCU,QB,B12,,0.398,0.061,0.173,0.211,0.319,0.174,0.319
2015,Kenneth Farrow,Houston,RB,AAC,,0.025,0.331,0.249,0.219,0.085,0.244,0.105
2015,Casey Martin,Southern Miss,WR,CUSA,,0.188,0.002,0.073,0.102,0.156,0.087,0.131
2015,Lamarvin Ashley,Alcorn State,WR,SWAC,,0.143,0.0,0.037,0.045,0.125,0.024,0.115
2015,Carl Harris,Lamar,RB,SLC,,0.0,0.143,0.114,0.042,0.071,0.104,0.038
2015,Dallas Kessman,San Diego,RB,PFL,,0.0,0.184,0.154,0.13,0.0,0.116,0.087
2015,Tyler Ervin,San José State,RB,MWC,,0.128,0.592,0.462,0.355,0.238,0.445,0.204
2015,Joe Gray,San José State,QB,MWC,,0.537,0.044,0.215,0.302,0.382,0.227,0.405
2015,Montrel Carter,Louisiana,RB,SBC,,0.021,0.097,0.081,0.05,0.0,0.086,0.014
2015,Keith Heitzman,Ohio,TE,MAC,,0.104,0.0,0.043,0.064,0.04,0.04,0.064
2015,Juwan Caesar,Florida International,WR,CUSA,,0.024,0.0,0.0,0.0,0.071,0.018,0.0
2015,Connor Cook,Michigan State,QB,B1G,,0.959,0.073,0.347,0.539,0.742,0.355,0.768
2015,Paul Lang,Michigan State,TE,B1G,,0.054,0.0,0.009,0.042,0.037,0.015,0.045
2015,Trevon Pendleton,Michigan State,FB,B1G,,0.042,0.006,0.033,0.011,0.018,0.031,0.0
2015,Aj Troup,Michigan State,WR,B1G,,0.102,0.0,0.051,0.0,0.069,0.032,0.051
2015,Chuckie Keeton,Utah State,QB,MWC,,0.808,0.188,0.435,0.491,0.651,0.439,0.604
2015,Braxton Miller,Ohio State,QB,B1G,,0.111,0.078,0.112,0.084,0.058,0.094,0.078
2015,Savon Huggins,Northern Iowa,RB,MVFC,,0.05,0.143,0.097,0.148,0.0,0.116,0.063
2015,Jamal Turner,Nebraska,WR,B1G,,0.043,0.013,0.024,0.033,0.028,0.023,0.038
2015,Harvey Langi,BYU,RB,Ind,,0.0,0.077,0.031,0.021,0.061,0.052,0.0
2015,Bobo Beathard,App State,WR,SBC,,0.083,0.002,0.024,0.024,0.053,0.026,0.036
2015,Jacob Huesman,Chattanooga,QB,SOCON,,0.833,0.158,0.393,0.45,0.429,0.375,0.458
2015,Jesse Kroll,Central Michigan,WR,MAC,,0.18,0.003,0.099,0.08,0.153,0.106,0.099
2015,Ben McCord,Central Michigan,TE,MAC,,0.108,0.0,0.053,0.047,0.097,0.05,0.082
2015,Kris Strange,Eastern Michigan,WR,MAC,,0.126,0.0,0.058,0.062,0.099,0.055,0.085
2015,Mark Iannotti,Southern Illinois,QB,MVFC,,0.97,0.356,0.455,0.679,0.824,0.516,0.938
2015,Jairockeis Jones,Florida A&M,WR,MEAC,,0.116,0.0,0.037,0.12,0.0,0.103,0.029
2015,P.J. Howard IV,Wake Forest,WR,ACC,,0.07,0.0,0.027,0.074,0.0,0.034,0.038
2015,Tre Roberson,Illinois State,QB,MVFC,,0.516,0.333,0.455,0.333,0.571,0.4,0.5
2015,Marvin Hall,Washington,WR,PAC,,0.075,0.013,0.055,0.028,0.037,0.042,0.038
2015,Joshua Perkins,Washington,TE,PAC,,0.127,0.002,0.071,0.059,0.051,0.066,0.053
2015,Dom Williams,Washington State,WR,PAC,,0.164,0.0,0.108,0.116,0.163,0.112,0.138
2015,Marvin Shinn,South Alabama,WR,SBC,,0.14,0.0,0.042,0.07,0.12,0.046,0.104
2015,Steve Wilson,Tennessee Tech,WR,OVC,,0.071,0.0,0.043,0.0,0.067,0.054,0.0
2015,Ernie Cain,Furman,RB,SOCON,,0.017,0.188,0.115,0.098,0.103,0.139,0.042
2015,Jordan Snellings,Furman,WR,SOCON,,0.117,0.0,0.019,0.049,0.103,0.038,0.083
2015,Karnorris Benson,Western Carolina,WR,SOCON,,0.093,0.017,0.064,0.079,0.0,0.056,0.047
2015,Cody Kessler,USC,QB,PAC,,0.968,0.049,0.443,0.489,0.711,0.424,0.694
2015,Max Wittek,Hawai'i,QB,MWC,,0.801,0.077,0.463,0.455,0.71,0.466,0.593
2015,Kishon Wilcher,Toledo,WR,MAC,,0.079,0.0,0.034,0.052,0.018,0.032,0.042
2015,Robby Anderson,Temple,WR,AAC,,0.251,0.01,0.128,0.129,0.099,0.11,0.139
2015,John Christopher,Temple,WR,AAC,,0.092,0.0,0.041,0.029,0.08,0.039,0.055
2015,Pat Gray,Monmouth,WR,BSOUTH,,0.086,0.0,0.115,0.0,0.0,0.075,0.0
2015,Anthon Samuel,Florida International,RB,CUSA,,0.021,0.143,0.087,0.068,0.064,0.09,0.032
2015,Herve Coby,Bowling Green,WR,MAC,,0.044,0.0,0.0,0.023,0.069,0.011,0.047
2015,Chris Gallon,Bowling Green,TE,MAC,,0.037,0.0,0.029,0.016,0.016,0.022,0.019
2015,Ryan Burbrink,Bowling Green,WR,MAC,,0.131,0.004,0.071,0.06,0.07,0.071,0.081
2015,Malik Stokes,Norfolk State,QB,MEAC,,0.034,0.038,0.022,0.0,0.107,0.032,0.041
2015,Anthone Taylor,Buffalo,RB,MAC,,0.053,0.497,0.266,0.314,0.178,0.279,0.206
2015,Joe Licata,Buffalo,QB,MAC,,0.984,0.037,0.509,0.479,0.69,0.478,0.642
2015,Tony Daniel,Buffalo,QB,MAC,,0.086,0.028,0.036,0.05,0.074,0.041,0.091
2015,Kendall Patterson,Buffalo,FB,MAC,,0.021,0.0,0.0,0.033,0.0,0.0,0.03
2015,Ron Willoughby,Buffalo,WR,MAC,,0.207,0.0,0.115,0.098,0.111,0.107,0.113
2015,Matt Weiser,Buffalo,TE,MAC,,0.168,0.0,0.08,0.083,0.123,0.068,0.128
2015,Brady Measom,Southern Utah,WR,BSKY,,0.154,0.0,0.042,0.095,0.167,0.065,0.118
2015,Jeff Greene,Ohio State,WR,B1G,,0.045,0.0,0.0,0.0,0.1,0.0,0.063
