player,pfr_player_id,season,position,teams,games,offense_snaps,offense_pct_mean,defense_snaps,defense_pct_mean,st_snaps,st_pct_mean
A.J. Bouye,BouyA.00,2013,CB,HOU,6,0,0.0,1,0.003,71,0.392
A.J. Green,GreeA.00,2013,WR,CIN,16,1056,0.93,0,0.0,0,0.0
A.J. Hawk,HawkA.20,2013,LB,GB,16,0,0.0,993,0.947,22,0.046
A.J. Jefferson,JeffA.00,2013,CB,MIN,10,0,0.0,51,0.076,86,0.291
A.J. Jenkins,JenkA.00,2013,WR,KC,16,192,0.172,0,0.0,36,0.071
A.J. Klein,KleiAJ00,2013,LB,CAR,16,0,0.0,129,0.138,260,0.618
A.Q. Shipley,ShipA.20,2013,C,BAL,16,706,0.614,0,0.0,74,0.149
Aaron Brewer,BrewAa00,2013,LS,DEN,16,0,0.0,0,0.0,170,0.316
Aaron Dobson,DobsAa00,2013,WR,NE,12,547,0.624,0,0.0,0,0.0
Aaron Rodgers,RodgAa00,2013,QB,GB,9,582,0.903,0,0.0,0,0.0
Aaron Ross,RossAa99,2013,CB,NYG,4,0,0.0,155,0.51,29,0.215
Aaron Williams,WillAa00,2013,CB,BUF,14,0,0.0,926,0.91,105,0.236
Abry Jones,JoneAb00,2013,DT,JAX,8,0,0.0,129,0.216,50,0.221
Ace Sanders,SandAc00,2013,WR,JAX,15,601,0.604,0,0.0,62,0.137
Adam Gettis,GettAd00,2013,G,WAS,13,17,0.018,0,0.0,93,0.242
Adam Hayward,HaywAd98,2013,LB,TB,16,0,0.0,187,0.169,298,0.659
Adam Jones,JonePa20,2013,CB,CIN,16,0,0.0,979,0.914,33,0.072
Adam Podlesh,PodlAd20,2013,P,CHI,16,0,0.0,0,0.0,146,0.302
Adam Snyder,SnydAd20,2013,G,SF,16,363,0.348,0,0.0,80,0.173
Adam Vinatieri,vinatada01,2013,K,IND,15,0,0.0,0,0.0,74,0.172
Adrian Clayborn,ClayAd00,2013,DE,TB,16,0,0.0,933,0.882,84,0.19
Adrian Peterson,PeteAd01,2013,RB,MIN,14,674,0.736,0,0.0,0,0.0
Adrian Robinson,RobiAd01,2013,LB,DEN/SD,8,0,0.0,21,0.039,113,0.43
Adrien Robinson,RobiAd00,2013,TE,NYG,1,0,0.0,0,0.0,1,0.03
Ahmad Black,BlacAh00,2013,FS,TB,4,0,0.0,146,0.53,45,0.428
Ahmad Bradshaw,BradAh00,2013,RB,IND,3,103,0.493,0,0.0,0,0.0
Ahmad Brooks,BrooAh21,2013,LB,SF,16,0,0.0,965,0.908,66,0.144
Ahtyba Rubin,RubiAh99,2013,DE,CLE,14,0,0.0,625,0.62,61,0.149
Akeem Ayers,AyerAk00,2013,LB,TEN,16,0,0.0,722,0.685,102,0.211
Akeem Dent,DentAk00,2013,LB,ATL,15,0,0.0,363,0.355,194,0.449
Akeem Jordan,JordAk99,2013,LB,KC,16,0,0.0,469,0.422,321,0.664
Akeem Spence,SpenAk00,2013,DT,TB,16,0,0.0,694,0.656,96,0.219
Akiem Hicks,HickAk00,2013,DE,NO,16,0,0.0,646,0.664,64,0.143
Akwasi Owusu-Ansah,OwusAk99,2013,FS,DET,1,0,0.0,0,0.0,13,0.5
Al Woods,WoodAl99,2013,DE,PIT,16,0,0.0,216,0.2,111,0.229
Alameda Ta'amu,Ta'aAl00,2013,NT,ARI,14,3,0.003,225,0.232,34,0.083
Alan Ball,BallAl99,2013,CB,JAX,15,0,0.0,1006,0.957,19,0.047
Alan Branch,BranAl99,2013,DT,BUF,16,0,0.0,596,0.521,105,0.213
Albert McClellan,McClAl00,2013,LB,BAL,15,0,0.0,5,0.005,336,0.738
Aldon Smith,SmitAl04,2013,LB,SF,11,0,0.0,574,0.793,44,0.143
Aldrick Robinson,RobiAl00,2013,WR,WAS,16,407,0.357,0,0.0,49,0.103
Alec Ogletree,OgleAl00,2013,LB,STL,16,0,0.0,1033,0.972,82,0.175
Alex Boone,BoonAl21,2013,G,SF,16,991,1.0,0,0.0,80,0.173
Alex Carrington,CarrAl99,2013,DE,BUF,3,0,0.0,164,0.663,16,0.163
Alex Green,GreeAl00,2013,RB,NYJ,13,42,0.045,0,0.0,129,0.355
Alex Henery,HeneAl00,2013,K,PHI,16,0,0.0,0,0.0,165,0.339
Alex Mack,MackAl20,2013,C,CLE,16,1106,1.0,0,0.0,62,0.127
Alex Okafor,OkafAl00,2013,LB,ARI,1,0,0.0,5,0.07,20,0.77
